t,T1,Q1
375.1830356121063,54.09,0.0
376.1840364933014,53.77,0.0
377.18410658836365,53.77,0.0
378.18435883522034,53.45,0.0
379.1850266456604,53.42,0.0
380.1860237121582,53.13,0.0
381.18644976615906,53.13,0.0
382.18745374679565,52.8,0.0
383.1874542236328,52.8,0.0
384.1874873638153,52.48,0.0
385.1875877380371,52.48,0.0
386.1877818107605,52.16,0.0
387.1878089904785,52.16,0.0
388.1937756538391,51.84,0.0
389.193808555603,51.8,0.0
390.193815946579,51.51,0.0
391.1947753429413,51.48,0.0
392.1957402229309,51.19,0.0
393.19614267349243,51.16,0.0
394.19683170318604,50.87,0.0
395.19751358032227,50.84,0.0
396.19751477241516,50.55,0.0
397.19830417633057,50.55,0.0
398.1983823776245,50.22,0.0
399.1985104084015,50.22,0.0
400.1989483833313,49.9,0.0
401.1995451450348,49.9,0.0
402.2001938819885,49.58,0.0
403.20104908943176,49.58,0.0
404.2015528678894,49.29,0.0
405.2025375366211,49.26,0.0
406.20333909988403,49.16,0.0
407.20346426963806,48.94,0.0
408.2042486667633,48.94,0.0
409.20520663261414,48.61,0.0
410.20524621009827,48.61,0.0
411.20534110069275,48.29,0.0
412.20634722709656,48.29,0.0
413.2073028087616,47.97,0.0
414.2076539993286,47.97,0.0
415.2080645561218,47.74,0.0
416.20902943611145,47.65,0.0
417.2093641757965,47.61,0.0
418.2093765735626,47.32,0.0
419.2094392776489,47.32,0.0
420.21022486686707,47.0,0.0
421.21090269088745,47.0,0.0
422.21182131767273,46.74,0.0
423.21213269233704,46.68,0.0
424.21228313446045,46.62,0.0
425.2132251262665,46.36,0.0
426.21417140960693,46.36,0.0
427.21486496925354,46.2,0.0
428.2148826122284,46.04,0.0
429.21582221984863,46.0,0.0
430.21662425994873,45.71,0.0
431.2166690826416,45.71,0.0
432.21666979789734,45.39,0.0
433.2167088985443,45.39,0.0
434.21673822402954,45.33,0.0
435.21755051612854,45.07,0.0
436.2175941467285,45.07,0.0
437.21855664253235,44.75,0.0
438.21947860717773,44.75,0.0
439.22037529945374,44.75,0.0
440.22133326530457,44.42,0.0
441.2216124534607,44.42,0.0
442.22242617607117,44.36,0.0
443.22338819503784,44.1,0.0
444.2234206199646,44.1,0.0
445.2240447998047,43.91,0.0
446.22472524642944,43.78,0.0
447.2257251739502,43.78,0.0
448.22672510147095,43.46,0.0
449.2277147769928,43.46,0.0
450.22791719436646,43.39,0.0
451.228698015213,43.13,0.0
452.2296919822693,43.13,0.0
453.2303898334503,42.97,0.0
454.23075890541077,42.81,0.0
455.23125982284546,42.81,0.0
456.23225498199463,42.65,0.0
457.23313760757446,42.49,0.0
458.23328471183777,42.49,0.0
459.2341539859772,42.46,0.0
460.2351505756378,42.17,0.0
461.236145734787,42.17,0.0
462.2370548248291,42.17,0.0
463.2374038696289,41.85,0.0
464.2384021282196,41.85,0.0
465.23875308036804,41.85,0.0
466.2387580871582,41.59,0.0
467.2387640476227,41.52,0.0
468.2387647628784,41.52,0.0
469.23892760276794,41.23,0.0
470.2396466732025,41.2,0.0
471.24015164375305,41.2,0.0
472.2411105632782,41.2,0.0
473.24122071266174,40.88,0.0
474.24205231666565,40.88,0.0
475.2421929836273,40.88,0.0
476.242226600647,40.65,0.0
477.24228024482727,40.56,0.0
478.24237513542175,40.56,0.0
479.2423801422119,40.43,0.0
480.24309253692627,40.23,0.0
481.24397921562195,40.23,0.0
482.24470138549805,40.23,0.0
483.24473905563354,39.91,0.0
484.24569845199585,39.91,0.0
485.24574613571167,39.91,0.0
486.24620509147644,39.82,0.0
487.2470564842224,39.59,0.0
488.2470905780792,39.59,0.0
489.24734377861023,39.59,0.0
490.24798941612244,39.3,0.0
491.2489800453186,39.27,0.0
492.2490134239197,39.27,0.0
493.2500123977661,39.24,0.0
494.2506055831909,39.01,0.0
495.2506639957428,38.95,0.0
496.25070214271545,38.95,0.0
497.2507345676422,38.95,0.0
498.25086879730225,38.62,0.0
499.2510895729065,38.62,0.0
500.2520971298218,38.62,0.0
501.25242948532104,38.62,0.0
502.2526478767395,38.37,0.0
503.25277829170227,38.3,0.0
504.25474190711975,38.3,0.0
505.25484347343445,38.3,0.0
506.2554428577423,38.24,0.0
507.25644040107727,37.98,0.0
508.2564785480499,37.98,0.0
509.2564845085144,37.98,0.0
510.2574372291565,37.91,0.0
511.2578525543213,37.66,0.0
512.2578566074371,37.66,0.0
513.2585310935974,37.66,0.0
514.2594881057739,37.66,0.0
515.2595167160034,37.62,0.0
516.2597720623016,37.37,0.0
517.2599267959595,37.33,0.0
518.2604928016663,37.33,0.0
519.2605023384094,37.33,0.0
520.2614595890045,37.27,0.0
521.2614903450012,37.01,0.0
522.2616550922394,37.01,0.0
523.2616558074951,37.01,0.0
524.2626240253448,37.01,0.0
525.2632250785828,37.01,0.0
526.2632598876953,36.82,0.0
527.2636022567749,36.69,0.0
528.2645604610443,36.69,0.0
529.2655599117279,36.69,0.0
530.265823841095,36.69,0.0
531.2660355567932,36.43,0.0
532.2668452262878,36.37,0.0
533.2678055763245,36.37,0.0
534.2685723304749,36.37,0.0
535.2686386108398,36.37,0.0
536.2694911956787,36.11,0.0
537.2704849243164,36.04,0.0
538.270510673523,36.04,0.0
539.2710676193237,36.04,0.0
540.271586894989,36.04,0.0
541.2720649242401,35.95,0.0
542.2725942134857,35.72,0.0
543.2727384567261,35.72,0.0
544.2732138633728,35.72,0.0
545.2732594013214,35.72,0.0
546.2735691070557,35.59,0.0
547.274209022522,35.4,0.0
548.2742486000061,35.4,0.0
549.2751150131226,35.4,0.0
550.2757301330566,35.4,0.0
551.2760837078094,35.4,0.0
552.2761209011078,35.4,0.0
553.2771196365356,35.08,0.0
554.2773118019104,35.08,0.0
555.2775571346283,35.08,0.0
556.2782051563263,35.08,0.0
557.2792053222656,35.08,0.0
558.2792465686798,34.98,0.0
559.2795517444611,34.82,0.0
560.2805519104004,34.76,0.0
561.2815222740173,34.76,0.0
562.2818467617035,34.76,0.0
563.2821962833405,34.76,0.0
564.2827668190002,34.72,0.0
565.2831542491913,34.63,0.0
566.2837061882019,34.43,0.0
567.2847051620483,34.43,0.0
568.2851998806,34.43,0.0
569.2859766483307,34.43,0.0
570.2864727973938,34.4,0.0
571.2874400615692,34.27,0.0
572.2874763011932,34.14,0.0
573.2880065441132,34.11,0.0
574.2881507873535,34.11,0.0
575.2887134552002,34.08,0.0
576.2887153625488,34.11,1.0
577.2887613773346,34.05,1.0
578.2894051074982,33.92,1.0
579.2894237041473,33.82,1.0
580.2902917861938,33.79,1.0
581.2904849052429,33.79,1.0
582.2905995845795,33.79,1.0
583.291455745697,33.79,1.0
584.292454957962,33.79,1.0
585.2927711009979,33.79,1.0
586.2927711009979,33.79,1.0
587.2931423187256,33.79,1.0
588.2933938503265,33.79,1.0
589.2934210300446,33.79,1.0
590.2943897247314,33.79,1.0
591.2944252490997,33.85,1.0
592.2944285869598,34.01,1.0
593.2953050136566,34.11,1.0
594.2954714298248,34.11,1.0
595.2964417934418,34.11,1.0
596.2974727153778,34.18,1.0
597.2983067035675,34.4,1.0
598.2990515232086,34.43,1.0
599.2994885444641,34.47,1.0
600.3004093170166,34.72,1.0
601.3006412982941,34.76,1.0
602.3014097213745,34.82,1.0
603.3016107082367,35.08,1.0
604.3017559051514,35.08,1.0
605.3019411563873,35.24,1.0
606.3021142482758,35.4,1.0
607.3025772571564,35.43,1.0
608.3033285140991,35.72,1.0
609.3040633201599,35.72,1.0
610.3048446178436,35.98,1.0
611.3049893379211,36.04,1.0
612.3052203655243,36.21,1.0
613.3053388595581,36.37,1.0
614.306325674057,36.46,1.0
615.3063383102417,36.69,1.0
616.3073344230652,36.72,1.0
617.3073391914368,37.01,1.0
618.3073410987854,37.11,1.0
619.3080439567566,37.33,1.0
620.3090574741364,37.43,1.0
621.3100488185883,37.66,1.0
622.3110430240631,37.82,1.0
623.3110506534576,37.98,1.0
624.3120532035828,38.2,1.0
625.313051700592,38.3,1.0
626.3133306503296,38.62,1.0
627.3133764266968,38.62,1.0
628.3134095668793,38.88,1.0
629.3144099712372,38.95,1.0
630.3144979476929,39.27,1.0
631.3154957294464,39.3,1.0
632.3164882659912,39.59,1.0
633.3164958953857,39.82,1.0
634.3174912929535,39.91,1.0
635.3174970149994,40.2,1.0
636.3184912204742,40.23,1.0
637.318498134613,40.56,1.0
638.3194909095764,40.59,1.0
